,originalTitle,director,startYear,runtimeMinutes,genre1,genre2,genre3,overview,popularity,ID
1613,24 mesures,Jalil Lespert,2007,85,Drame,,,"C'est la veille de Noël. Séparée de son jeune fils, Helly se bat pour l'argent. Homme solitaire, Didier la paie pour jouer sa fiancée le temps d'une soirée. Mais l'acte connaît une fin tragique. Abasourdie, Helly rencontre Marie, qui l'accueille, en route vers la côte. Là, ils rencontrent Chris. Tous les trois termineront la soirée ensemble. C’est leur dernier pas dans la joie et la perdition.",1.395,https://m.media-amazon.com/images/M/MV5BZDQ3ZjFmMTctY2ZmMy00OGZjLTgxNjEtMWYyNjM0ZjNiMDk1XkEyXkFqcGdeQXVyMjc1NDA2OA@@._V1_.jpg
1614,Coupable,Laetitia Masson,2008,107,Crime,Drame,,"Lorsque le cadavre de M. Kaplan est retrouvé, un couteau de cuisine dans le dos, tous les regards se tournent vers la servante. Lorsque la veuve révèle que son mari décédé était incapable de lui donner des enfants, tous les regards se tournent vers elle. Derrière ce crime passionné, un détective des temps modernes découvrira que la tentation, la dévotion, le remords et le désir sont les meilleurs carburants pour tuer l'amour.",1.583,https://m.media-amazon.com/images/M/MV5BNTUyNGNjOTMtODEzMy00Nzk1LTgxMTAtOTBkZjA0NDlkOTAzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg
1615,Tout est pardonné,Mia Hansen-Løve,2007,105,Drame,,,Un père et sa fille sont réunis onze ans après que la toxicomanie du père ait déchiré la famille.,1.232,https://m.media-amazon.com/images/M/MV5BODViZmM3MGQtNDdhYS00MzNkLTk4M2EtNTU2M2MxY2VlNzQ1XkEyXkFqcGdeQXVyMjc1NjE1MzM@._V1_.jpg
1616,Arthur et la vengeance de Maltazard,Luc Besson,2009,107,Aventure,Animation,Famille,"Arthur répond à un appel de détresse de la princesse Selenia, qui est menacée par l'infâme Maltazard.",19.206,https://m.media-amazon.com/images/M/MV5BNjg4OWVkMzMtN2IxZi00ZjI0LWIxZmEtODgxMmFjY2U4ZmIyXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_.jpg
1617,Le tueur,Cédric Anger,2007,91,Thriller,,,"Léo Zimmermann, un homme d'affaires parisien raffole de sa fille. Il propose une offre étrange à son assassin alors qu'il est en ville pour exécuter Zimmermann.",0.772,https://m.media-amazon.com/images/M/MV5BNmJkYTBjOWItNzAxNC00OGVmLWE5MTItMmNjNTEyNTJjYWFhXkEyXkFqcGdeQXVyMjQwOTcxMzg@._V1_.jpg
1618,Chasseurs de dragons,,2008,80,Action,Aventure,Animation,"Dragon Hunters est un conte fantastique racontant les aventures de deux chasseurs de dragons : le monde est devenu un vaste conglomérat d'îles de taille et de forme variables. Cet univers bavard est principalement peuplé de coquins impitoyables, de paysans hargneux et de petits seigneurs analphabètes. Leurs principales préoccupations tournent autour de deux règles fondamentales : Manger et ne pas se faire manger.",12.475,https://m.media-amazon.com/images/M/MV5BMzYyMjM0NjU4M15BMl5BanBnXkFtZTgwNjk2NTcwMzE@._V1_.jpg
1619,Un homme perdu,Danielle Arbid,2007,93,Drame,,,"Inspiré des voyages photographiques d'Antione d'Agata, le drame mondain de Danielle Arbid suit un photographe français qui parcourt le monde à la recherche des expériences les plus extrêmes imaginables. Thomas est un photographe intrépide qui est toujours prêt à risquer sa vie pour le plaisir d'une bonne photo. Tombé sous le charme d'un vieil homme énigmatique nommé Fouad Saleh, le photographe voyage en Extrême-Orient dans l'espoir de percer les secrets de celui qui ne peut plus se souvenir de son propre passé. Comme le photographe le découvre bientôt, ce sont souvent les efforts les plus innocents qui donnent les résultats les plus profonds et transformateurs.",2.91,https://m.media-amazon.com/images/M/MV5BMDZlZDQxNTgtYzJjOC00YjJmLTk5NDMtNTE4NDVlM2Y3ZGRiXkEyXkFqcGdeQXVyNjQwMjEyNjU@._V1_.jpg
1620,Faubourg 36,Christophe Barratier,2008,120,Drame,Musique,Musical,"Une star naît dans une époque à la fois de fête et d'instabilité dans ce drame historique sur la musique du réalisateur Christophe Barratier. Au printemps 1936, Paris est dans l'incertitude ; Alors que la montée du Troisième Reich en Allemagne inquiète beaucoup, un candidat de gauche, orienté vers les syndicats, Léon Blum, a été élu au pouvoir, et les syndicats ressentent leur nouveau pouvoir en s'opposant à la direction.",5.719,https://m.media-amazon.com/images/M/MV5BMTdhZDY1M2YtNmMwNS00MzEyLTk1ZTAtOWFjY2UyMTlhYTBlXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_.jpg
1621,Disco,Fabien Onteniente,2008,103,Comédie,Musique,,"Didier Travolta est un fan de musique disco de 40 ans, sans travail, vivant avec sa mère et père d'un fils qu'il n'a pas vu depuis un moment. La mère de son fils refuse de lui envoyer son fils en vacances à moins qu'il ne puisse lui proposer de vraies vacances, pas seulement une fréquentation des bars de la ville portuaire française du Havre. Sans le sou, la seule façon pour lui de voir son fils est de gagner un concours de danse organisé par son ami Jackson, avec en récompense des vacances en Australie pour deux.",6.183,https://m.media-amazon.com/images/M/MV5BMjA4MDEwODgwN15BMl5BanBnXkFtZTgwNTY3NTcwMzE@._V1_.jpg
1622,Les enfants de Timpelbach,Nicolas Bary,2008,97,Aventure,Famille,Fantaisie,"Les enfants d'un petit village de montagne européen finissent par en être les seuls résidents, peu de temps après que les adultes ne supportent plus leur comportement.",7.362,https://m.media-amazon.com/images/M/MV5BMTA0NDA2NTQyMTJeQTJeQWpwZ15BbWU4MDA5NjEwNjAx._V1_.jpg
1623,À vos marques... party!,Frédéric D'Amours,2007,119,Comédie,Drame,Romance,"Gaby, une lycéenne calme et introvertie, est sollicitée par le directeur de l'école pour accueillir et superviser l'intégration d'une nouvelle élève, Sandrine. Sandrine, extravertie et joyeuse, est tout le contraire de Gaby ; pourtant, les deux filles développent bientôt un lien et Gaby sort lentement de sa coquille. Les émotions refoulées à propos d'un accident passé et de vieilles amitiés reviennent à la recherche de Gaby après avoir appris qu'elle devra donner des cours particuliers à Frédérick, le champion de l'équipe de natation et beau gosse de l'école.",1.617,https://m.media-amazon.com/images/M/MV5BZWZkNGU0MmMtODNjNi00NmVlLThmN2QtODFkZWZkOTVjYzY5XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_.jpg
1624,Max & Co,,2007,76,Aventure,Animation,Drame,"Max, 15 ans, est à la recherche de son père, le célèbre troubadour Johnny Bigoude, disparu peu après la naissance de Max. Il arrive à Saint-Hilare où Madame Doudou, l'ancienne institutrice, s'occupe de lui et lui trouve un emploi de musicien d'ascenseur dans l'usine de tapettes à mouches Bzzz &amp; Co. Mais l'usine ne fonctionne pas bien et la moitié du village est licenciée. Pour augmenter les ventes de tapettes, un dangereux scientifique crée une production massive de mouches. Bientôt, une épaisse nuée d'insectes attaque le village... Avec courage et détermination, Max et sa nouvelle amie Félicie vont faire de leur mieux pour neutraliser les projets insensés de Bzzz&amp;Co. Parviendront-ils à convaincre les villageois de les aider dans cette aventure ? Tous ensemble, parviendront-ils à arrêter les manipulations folles du scientifique ? Et Max retrouvera-t-il son père ?",3.783,https://m.media-amazon.com/images/M/MV5BOWFkYTJjYzQtOTRmYS00ZWFhLTg3NWQtZjg4MjEwN2FiZWFlXkEyXkFqcGdeQXVyNjQzNTQxMDI@._V1_.jpg
1625,Un monstre à Paris,Bibo Bergeron,2011,90,Aventure,Animation,Comédie,"Paris, 1910. Emile, un projectionniste de cinéma timide, et Raoul, un inventeur haut en couleur, se retrouvent lancés à la recherche d'un monstre terrorisant les citoyens. Ils s'associent à Lucille, la star au grand cœur du cabaret L'Oiseau de Paradis, une scientifique excentrique et son singe irascible pour sauver le monstre, qui se révèle être une puce surdimensionnée mais inoffensive, des griffes du commissaire de police de la ville, impitoyablement ambitieux.",20.207,https://m.media-amazon.com/images/M/MV5BMDcwNTdiNWQtYmI3MC00MmQyLWJhNDYtZTU4NDAyNzVjZWE5XkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_.jpg
1626,Survivre avec les loups,Véra Belmont,2007,118,Drame,,,"En 1942, la jeune fille juive Misha, sa mère russe Gerusha et son père allemand Reuven se cachent des Allemands dans une petite maison des Ardennes, en Belgique. Misha est très liée à sa mère qui lui conseille que si un jour une personne vient lui dire ""l'amour de ma vie"", elle le suivra sans aucune question. Lorsque ses parents sont capturés par les nazis, Misha est livrée dans une famille allemande et la matriarche abusive inflige un mauvais traitement à la jeune fille. Cependant, elle trouve du soutien dans la famille d'Ernest et de sa femme dérangée Marthe, qui fournit des produits d'épicerie à la famille d'accueil. Misha adore les chiens d'Ernest et le vieil homme lui donne une boussole et lui raconte que ses parents ont été envoyés aux travaux forcés à l'Est. Lorsque le vieux couple est dénoncé pour avoir hébergé la jeune fille et arrêté par les Allemands, Misha s'enfuit à travers les bois en direction de l'est. Au cours de son voyage à la recherche de ses parents...",5.203,https://m.media-amazon.com/images/M/MV5BZDRkNmMwNDAtYjhhNy00MzYzLThkMWUtNmJlNmM0MWUwOWFjXkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_.jpg
1627,Ceux qui restent,Anne Le Ny,2007,93,Drame,,,"Bertrand (Vincent Lindon) rend consciencieusement visite chaque jour à sa femme en phase terminale, bravant le long trajet en train et en bus pour aller et revenir de l'hôpital. Lorraine (Emmanuelle Devos) ne rend pas si volontiers visite à son petit ami qui a reçu un diagnostic de cancer du côlon. Ils se croisent lors d'une de leurs visites et commencent à se retrouver autour d'un café. Le café se transforme en Lorraine proposant de conduire Bertrand à la gare et les deux se tournent l'un vers l'autre dans leur moment de chagrin et de confusion.",2.341,https://m.media-amazon.com/images/M/MV5BOWM1YTk3YTItZjAxOS00YWQwLWE3MDgtZmJmY2YyOGIxOGNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODkwMDI4MA@@._V1_.jpg
1628,Celebration,Olivier Meyrou,2007,74,Documentaire,,,Un documentaire sur Yves Saint-Laurent et le défilé final du légendaire couturier.,1.09,https://m.media-amazon.com/images/M/MV5BZmI2ZjBjMGYtZjEyNy00ZGM3LWI2NDgtZGU2MjJkMmEyZDdiXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_.jpg
1629,Cabale à Kaboul,,2006,87,Documentaire,,,"C'est l'histoire des deux derniers Juifs d'Afghanistan. Tous les autres Juifs sont partis depuis longtemps. Isaac et Zabulon vivent seuls dans la synagogue abandonnée. Le plus âgé des deux, Isaac au visage vermeil, est le sorcier-guérisseur de Kaboul. Il fabrique des amulettes cabalistiques, qu'il vend aux musulmans pour chasser les démons des femmes, ou des soldats épuisés par la guerre. L'autre juif, Zabulon, a les mêmes clients afghans, mais leur vend le vin qu'il produit illégalement.",1.4,https://m.media-amazon.com/images/M/MV5BMmViMjUwNzYtNzk3ZC00OGVhLTkyNzktMmQ2YTVmMjA1ZDA2XkEyXkFqcGdeQXVyOTU1MjM3MzI@._V1_.jpg
1630,Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence,,2007,100,Comédie,Drame,,Un film collectif de 33 courts métrages réalisés par différents réalisateurs sur leur ressenti du cinéma.,5.675,https://m.media-amazon.com/images/M/MV5BMGQxYjc0NDctMDNkMC00NzQxLWI4ODUtZDkzNjU2NzExOGMzXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_.jpg
1631,Deux vies... plus une,Idit Cebula,2007,90,Comédie,Romance,,"Tout le monde sait qu'Eliane Weiss est dévouée dans tout ce qu'elle entreprend, de son mari à sa fille en passant par ses élèves. Mais tout le monde ne sait pas qu’elle aspire à plus – plus de temps pour elle, plus de plaisir, plus de sensations fortes. Alors, lorsqu'elle décide de se consacrer à sa passion, l'écriture, et qu'elle rencontre par hasard un éditeur séduisant, tout le monde est surpris. Alors que leur vie apparemment parfaite commence à s'effondrer, tout le monde devra se réadapter à la nouvelle Eliane Weiss.",1.428,https://m.media-amazon.com/images/M/MV5BYzAxOWFlMzMtNzI0Ny00NTNkLWE4YTgtYzBjMjI1MDFjYTNmXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_.jpg
1632,Cowboy Angels,Kim Massee,2006,100,Drame,,,"Paris, quartier de La Chapelle dans le 18ème arrondissement. Pablo, onze ans, supporte froidement la vie compliquée de sa mère. Abandonné une énième fois, il décide de partir à la recherche de son père espagnol. Il engage Louis, un joueur de poker qui a connu des moments difficiles et auquel il s'est mystérieusement attaché. Mais son père s'avère n'être qu'une illusion...",0.6,aucune source
1633,Où avais-je la tête ?,Nathalie Donnini,2007,85,Comédie,,,(),0.6,aucune source
1634,Vous êtes de la police?,Romuald Beugnon,2007,94,Comédie,Crime,,"Un ancien policier entre avec ressentiment dans une maison de retraite. Pour tromper son ennui, il va enquêter sur le meurtre d'un autre habitant.",0.628,https://m.media-amazon.com/images/M/MV5BMGQwYzFlMzgtYjYzOS00NDIzLTg1NWMtMTExNmUzNDMyNDQxXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg
1635,Black,Pierre Laffargue,2009,115,Action,Crime,Drame,"Un braqueur de banque sénégalais né et élevé en France se remet d'un braquage désastreux. Alors qu'il envisage d'aller tout droit, son cousin l'appelle de Dakar avec une opportunité facile.",1.655,https://m.media-amazon.com/images/M/MV5BZjZjYWZjNmEtN2YzMy00Y2MwLWI5N2MtOGMyN2I4NmI4YjZkXkEyXkFqcGdeQXVyMjMzOTE5Njk@._V1_.jpg
1636,La chambre des morts,Alfred Lot,2007,115,Crime,Mystère,Thriller,"Lors d'une balade avec les phares éteints, deux hommes ont frappé et tué un autre homme portant un cartable rempli d'argent. Les deux hommes décident de prendre l'argent, de jeter le corps dans un étang et d'enterrer l'argent dans une colline houillère. Le lendemain matin, la police découvre le corps d'une jeune fille aveugle de 12 ans, Melody, kidnappée, dans un entrepôt proche du lieu du délit de fuite. Ils déterminent que le ravisseur a vu le père de la jeune fille lui apporter la rançon et a également été témoin du délit de fuite et des hommes qui ont volé la rançon.",4.261,https://m.media-amazon.com/images/M/MV5BZDQ0YjBiNjItMzdmMS00OTEzLWExOTgtMDM2ZDZkNDVhMDdlXkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_.jpg
1637,Comme ton père,Marco Carmel,2007,95,Comédie,Drame,,"1968. La famille Maïmon : Félix, Mireille et leurs deux enfants, Eric et Michel, débarquent à Marseille. Quelques années plus tard, à peine installé à Belleville, Félix fait la connaissance de Serge, un parrain local avec qui il se lie d'amitié. Serge entraîne Félix sur les chemins du grand banditisme, jusqu'à ce que celui-ci se fasse prendre par la police et décide d'endosser, à la place de Serge, la responsabilité de chef de bande.",0.832,https://m.media-amazon.com/images/M/MV5BNDE5YzRhYTktMTQ5MS00MmExLTliM2UtNzUyNjZjMTVlYTVlXkEyXkFqcGdeQXVyNjQ1NjIwMTM@._V1_.jpg
1638,Le grand alibi,Pascal Bonitzer,2008,93,Crime,Drame,Mystère,"Comme chaque week-end, le sénateur Henri Pagès et son épouse reçoivent des invités dans leur bel hôtel particulier situé dans un paisible village proche de Paris. Mais cette fois-ci, les choses tournent mal : Pierre Collier, psychanalyste et coureur de jupons accompli, est sauvagement assassiné. Claire, sa femme, hébétée et confuse devant son cadavre, un pistolet fumant toujours à la main, semble être la coupable idéale...",3.019,https://m.media-amazon.com/images/M/MV5BMDk0MzVhOTQtNzJhYi00MTE1LWIxNDMtNmU1ZGQ2MTQxZDA4XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_.jpg
1639,Les randonneurs à Saint-Tropez,Philippe Harel,2008,105,Comédie,,,"Dix ans après leurs désastreuses vacances à pied en Corse, quatre amis – Cora, Nadine, Mathieu et Louis – décident de passer l'été ensemble sur la Côte d'Azur. A leur grande surprise, qui rencontrer à St-Tropez sinon Eric, le guide-de-l'Enfer qui a transformé leurs dernières vacances en cauchemar et qu'ils ont juré de ne plus jamais revoir...",4.63,https://m.media-amazon.com/images/M/MV5BYTUwOTIxOGUtZTkwNi00YzI5LWI0NTItNjY5ZjgyNGIwNTk4XkEyXkFqcGdeQXVyNDUxOTkyMTI@._V1_.jpg
1640,Serveuses demandées,Guylaine Dionne,2008,110,Drame,,,"La Brésilienne Priscilla Paredes a l'intention de rester à Montréal, malgré l'expiration de son visa étudiant. En désespoir de cause, elle accepte un emploi de danseuse exotique à l'Elixir, un club de strip-tease du centre-ville, où elle rencontre Milagro, une Québécoise têtue et collègue danseuse qui, ironiquement, aspire à s'installer au Brésil. Priscilla est accueillie dans la vie de famille secrète de Milagro et présentée à sa jeune fille Chloé ; Milagro apprend à son tour à Priscilla comment se battre pour ce qu'elle veut, pour ce dont elle a besoin.",2.038,https://m.media-amazon.com/images/M/MV5BMWEzZGVkNmYtYzRkOC00YjY4LTgzNTAtNmY4MjFkMmZjNGU2XkEyXkFqcGdeQXVyNDI0NjM3MDE@._V1_.jpg
1641,Bluff,,2007,88,Comédie,,,(),1.088,https://m.media-amazon.com/images/M/MV5BZjNjM2RjMGQtMDlmNC00ZjNlLTg3YmUtNzgzNzI0ZGQ0NzgxXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_.jpg
1642,Un conte de Noël,Arnaud Desplechin,2008,150,Comédie,Drame,,"Lorsque leur matriarche royale tombe malade, la famille Vuillard en difficulté se réunit pour des retrouvailles hésitantes à l'occasion de Noël. Parmi eux se trouvent le rebelle et le vaurien Henri et la coincée Elizabeth. Réunis sous le même toit pour la première fois depuis de nombreuses années, leurs ressentiments et leurs aspirations complexes et longtemps niés réapparaissent.",6.603,https://m.media-amazon.com/images/M/MV5BYWJkZTdlY2QtZTg1OC00MmYzLWEwMWEtNDdjZGY4ZWQ4ZTI0XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg
1643,Les chansons d'amour,Christophe Honoré,2007,91,Drame,Musical,Romance,"Ismael et Julie, qui dans l'espoir de relancer leur relation au point mort, entrent dans un trio ludique mais chargé d'émotions avec Alice. Lorsque survient la tragédie, ces jeunes Parisiens sont contraints de faire face à la fragilité de la vie et de l'amour. Pour Ismael, cela signifie négocier avec les avances de la sœur de Julie et d'un jeune étudiant – dont l'une pourrait lui offrir la rédemption.",5.3,https://m.media-amazon.com/images/M/MV5BNDgwYmZmZGEtNTBkYi00YTI2LTkxNWYtZWZjNzQzZDcxNjE1XkEyXkFqcGdeQXVyMjUxOTQ5MzA@._V1_.jpg
1644,L'apprenti,Samuel Collardey,2008,82,Drame,,,(),0.932,https://m.media-amazon.com/images/M/MV5BYzIzNTI3ZDktZmY0ZS00ODZiLWEzZGEtNzRmMmVkYzEyNmZlXkEyXkFqcGdeQXVyMTU3MDQ1NjE@._V1_.jpg
1645,Cortex,Nicolas Boukhrief,2008,105,Crime,Mystère,Thriller,"Piégé dans une maison de retraite où les gens disparaissent sans cesse, un ex-flic doit vaincre sa maladie d'Alzheimer pour découvrir qui tue des gens dans ce thriller.",2.993,https://m.media-amazon.com/images/M/MV5BMTM3NjUyMjY1MV5BMl5BanBnXkFtZTcwMTYxNzY4Mg@@._V1_.jpg
1646,La fabrique des sentiments,Jean-Marc Moutout,2008,104,Drame,,,"Une femme qui réussit recherche la romance par le speed dating dans ce drame. Eloïse a un excellent travail et une excellente éducation, mais elle cherche l'amour. Quelques minutes peuvent-elles être la clé pour trouver le véritable amour ?",1.501,https://m.media-amazon.com/images/M/MV5BZmIzNWIxNTMtN2QyZS00MmRlLWJkZGMtODdhYWNjNWVlMDM1L2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_.jpg
1647,La jeune fille et les loups,Gilles Legrand,2008,110,Aventure,Drame,Famille,"Peu de temps avant la Première Guerre mondiale, dans une ville alpine française près de la frontière italienne, une meute de loups abattus est livrée au taxidermiste local Léon (Patrick Chesnais). Un lionceau noir survivant descend des montagnes à la recherche de sa famille et est sauvé de la découverte et d'une mort certaine par la jeune fille de Léon, Angèle, qui le relâche dans la nature. La Grande Guerre va et vient, rendant riches les propriétaires de fonderies locales, les Garcin. Le patriarche de la famille Albert Garcin (Michel Galabru), qui se trouve être le parrain d'Angèle, a loué gratuitement à vie une cabane dans les collines à une gitane (interprétée dans des flashbacks d'Elisa Tovati dans lesquels on la voit, littéralement, danser avec les loups). sur scène). Son fils Guiseppe (Stefano Accorsi), qui semble légèrement handicapé mental, garde les loups avec lesquels il s'est lié d'amitié, en particulier le chef de meute noir qu'il appelle Carbone.",2.334,https://m.media-amazon.com/images/M/MV5BYjk0MDc0YTktZGE0MC00NTE2LWFkOWItNTJlYTkwYTg1Y2RlXkEyXkFqcGdeQXVyNTE0MDY4Mjk@._V1_.jpg
1648,Lady Jane,Robert Guédiguian,2008,104,Crime,Drame,Thriller,"C'est l'histoire de trois amis d'enfance : Muriel, François et René. Partenaires du crime (des cambriolages, pour être précis), les trois mettent fin à leurs activités « criminelles » après l'échec d'une de leurs tentatives de cambriolage. Ils jurent de ne plus jamais se revoir jusqu'à ce que le fils de Muriel soit kidnappé, ce qui les amène à nouveau à unir leurs forces pour obtenir l'argent de la rançon.",1.307,https://m.media-amazon.com/images/M/MV5BNTQyN2RkODQtMjJhOC00MTk3LWIyMWQtOTNlNjZhYWMxMWVmXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
1649,Modern Love,Stéphane Kazandjian,2008,100,Comédie,Musical,Romance,Plusieurs couples se séparent et se remettent ensemble.,2.794,https://m.media-amazon.com/images/M/MV5BZjQ3ZjNlNzAtMDczYy00ZmI2LThlMzMtNmMyOWM1ZTRiNzgyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg
1650,"Mèche Blanche, les aventures du petit castor",,2008,77,Aventure,Famille,,White Tuft est un petit castor qui vit dans le nord du Canada ; C'est un endroit dangereux donc dans son aventure il devra reconnaître ses amis et ses ennemis.,1.964,https://m.media-amazon.com/images/M/MV5BM2VjMThkNDQtZDJjYi00ZTdmLTg0ZjAtOTRiODQzNjRmYzFlXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
1651,Si c'était lui...,Anne-Marie Etienne,2007,89,Comédie,Romance,,(),1.449,https://m.media-amazon.com/images/M/MV5BYWM0OWMzZDgtZDkwNS00YzAwLWI1MWYtYTZlOWM2NzYyZjYxXkEyXkFqcGdeQXVyNjM4OTU1MjM@._V1_.jpg
1652,Didine,Vincent Dietschy,2008,103,Comédie,,,"Alexandrine, 35 ans, que tout le monde surnomme Didine, suit paisiblement le courant, à l'opposé de sa meilleure amie Muriel. Elle franchit ainsi un jour le seuil d'une agence d'aide aux personnes âgées où, face à un adolescent extraverti, un homme charmant et une femme âgée et cruelle, elle s'empare de son existence et rencontre l'amour.",1.677,https://m.media-amazon.com/images/M/MV5BZGI5MTQzNjYtOWUwNC00YzAwLTg5YjEtMzYyY2Y5MDZkYWVhXkEyXkFqcGdeQXVyMTgwMzU4OQ@@._V1_.jpg
1653,Villa Caprice,Bernard Stora,2020,103,Drame,,,"Célèbre avocat, Luc Germon ajoute à sa clientèle Gilles Fontaine, l'un des patrons les plus puissants de France. Il est soupçonné d'avoir acquis une magnifique propriété, la Villa Caprice, dans des conditions douteuses.",4.713,https://m.media-amazon.com/images/M/MV5BMTU4MzE3OWUtMThhMS00NjBmLWI0OWItNmEyMDc4YzI2NzQyXkEyXkFqcGdeQXVyMTUwOTU0Mw@@._V1_.jpg
1654,Mon cousin,Jan Kounen,2020,104,Comédie,,,"Pierre est le PDG à succès d'une grande entreprise familiale. Avant de signer le deal du siècle, il lui reste à régler une dernière formalité : obtenir la signature de son cousin Adrien qui possède 50% de son entreprise. Ce rêveur doux et idéaliste, qui enchaîne les gaffes, est si heureux de revoir Pierre qu'il a envie de passer du temps avec lui et de retarder le moment de la signature. Pierre n'a donc d'autre choix que d'emmener son cousin avec lui dans un voyage d'affaires mouvementé au cours duquel sa patience sera mise à rude épreuve.",4.697,https://m.media-amazon.com/images/M/MV5BNDU3YTQ2NjUtNzAwZC00MjI3LWFkYWItMmMwZTA0ZGZhODEzXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_.jpg
1655,Passion simple,Danielle Arbid,2020,99,Drame,Romance,,"Un homme et une femme sont réunis par hasard pendant plusieurs mois. Il est plus jeune qu'elle, marié, russe, officiellement diplomate en poste à Paris. C’est une belle enseignante et chercheuse, qui a les pieds sur terre. Le film suit l'évolution de leur amour, du début à la fin.",36.549,https://m.media-amazon.com/images/M/MV5BMzYyMGE4N2ItYzA0NC00MzJhLWI2MmYtNzcxMjVjYzA0MmQ1XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg
1656,Ca$h,Éric Besnard,2008,100,Comédie,Crime,Thriller,"Un homme rencontre deux « gentils » pour récupérer ce qui lui appartient illégalement, les emmenant dans son voyage éclair, faisant des choses qu'ils n'auraient jamais imaginées, juste pour survivre.",8.656,https://m.media-amazon.com/images/M/MV5BNTc1MTA4NDQtZDFkNC00ODYzLTgwYjUtMWZjODVlNzcyYTdhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg
1657,Notre univers impitoyable,Léa Fazer,2008,87,Comédie,,,(),1.888,https://m.media-amazon.com/images/M/MV5BMTU5NzI3MDM2OF5BMl5BanBnXkFtZTgwNjc0NDEwMDE@._V1_.jpg
1658,Secret défense,Philippe Haïm,2008,100,Thriller,,,"En France, groupes terroristes et services de renseignement se livrent chaque jour une guerre sans merci, au nom d’idéologies radicalement opposées. Pourtant, terroristes et agents secrets mènent presque la même vie. Condamnés au secret, ces maîtres de la manipulation suivent les mêmes méthodes. Alex et Al Barad en font partie. Le premier est à la tête de l'unité antiterroriste de la DGSE (Direction Générale de la Sécurité Extérieure), l'équivalent français de la CIA ou du MI6 tandis que le second règne sur un réseau terroriste, et tous deux combattent avec les armes les plus impitoyables. : êtres humains.",6.489,https://m.media-amazon.com/images/M/MV5BZjU2MzNmYWEtZjM5Yy00MTkxLTkyNjMtMTdkYmM1ODc1YjRkXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg
1659,Fabuleuses,Mélanie Charbonneau,2019,112,Comédie,,,Fabulous est une comédie légère sur trois jeunes femmes. C'est un regard divertissant sur les paradoxes auxquels les jeunes femmes sont confrontées dans un monde où la valeur dépend du nombre de « j'aime » que vous recevez en ligne.,2.738,https://m.media-amazon.com/images/M/MV5BOTA3ZTdlNjAtODg5Ny00ZTAyLTlhMDAtMmZmNzg3MzI4MTIwXkEyXkFqcGdeQXVyMjY2ODMxNjg@._V1_.jpg
1660,Leur souffle,,2019,120,Documentaire,,,(),0.601,https://m.media-amazon.com/images/M/MV5BZTRiYmVmODYtYWZhOS00NDg1LTk2ZDgtNDViZjA3NTAxYzg2XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_.jpg
1661,Ouistreham,Emmanuel Carrère,2021,106,Drame,,,"Marianne Winckler, auteure connue, part vivre dans le nord de la France pour faire des recherches pour son nouveau livre sur le thème de la précarité de l'emploi. Sans révéler sa véritable identité, elle est embauchée comme femme de ménage, travaillant avec un groupe d'autres femmes. Dans ce nouveau rôle, elle fait l’expérience directe de l’instabilité financière et de l’invisibilité sociale. Mais elle découvre aussi l'entraide et la solidarité, liens forts partagés par ces travailleuses des coulisses.",6.928,https://m.media-amazon.com/images/M/MV5BMDdlOTQ4MTItOTQ5Ny00ZDU0LTgzYjYtNzhiNWY3OWUyM2JkXkEyXkFqcGdeQXVyMjUzMTYzMDI@._V1_.jpg
1662,Formidable,,2007,90,Drame,,,Comédie sociale sur 2 quadragénaires qui cherchent un nouveau but dans la vie.,0.917,aucune source
